@relation 'estado_cultivo-weka.filters.unsupervised.attribute.Remove-R1-3,16-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R5-6'

@attribute CULTIVO {SAbila,'Aguacate demAs variedades','Banano consumo interno',Granadilla,Guayaba,'Gulupa o cholupa',Lulo,'Pina demAs variedades','PlAtano consumo interno','Otros cItricos','MaIz Tradicional','MaIz Tecnificado','Cebolla De Rama',Cilantro,Lechuga,PimentOn,Repollo,Tomate,Zanahoria,'Papa todas las variedades',Iraca,Fresa,Mora,'Tomate de Arbol',GuanAbana,Esparrago,'Tomate Invernadero',MaracuyA,'Papaya  demAs variedades','Otras hortalizas',Habichuela,'LimOn  Pajarito','Mango demAs variedades','Naranja demAs variedades',Ahuyama,Patilla,'Yuca consumo en fresco','Otros frutales','Cebolla De Bulbo','Pepino Cohombro',Remolacha,Mangostino,Chontaduro,Brevo,Feijoa,'Plantas AromAticas','Aguacate Hass','Aguacate Papelillo','LimOn  TahitI','Mandarina Arrayana y/o Oneco','Naranja Valencia','Papaya  Hawaiana, Maradol, Melona, Redonda y/o Tainung',Albahaca,'Sacha inchi',Macadamia,Zapote,'Papa Criolla',Arracacha,Cacao,CafE,'Cana Panelera',Frijol,Fique,Arveja,'Cana de AzUcar','MaIz Amarillo Tradicional','MaIz Blanco Tradicional','MaIz Amarillo Tecnificado','MaIz Blanco Tecnificado','Palma de aceite'}
@attribute 'CICLO DE CULTIVO' {Permanente,Transitorio}
@attribute 'GRUPO CULTIVO' {'Cultivos para Condimentos y Bebidas Medicinales y AromAticas',Frutales,Cereales,Hortalizas,'RaIces y TubErculos','Cultivos Tropicales Tradicionales',Leguminosas,Oleaginosas}
@attribute SUBGRUPO {Medicinales,'Demas frutales',PasiflorAceas,MirtAceas,SolanAceas,CItricos,Cereales,'Hortalizas de Tallo','Hortalizas de Hoja','Hortalizas de Futo','Hortalizas de raIz','RaIces y TubErculos','Cultivos Tropicales Tradicionales',AnonAceas,Hortalizas,Leguminosas,ArAceas,'Cultivos para Condimentos y Bebidas Medicinales y AromAticas',AromAticas,Oleaginosas}
@attribute 'Area Sembrada(ha)' numeric
@attribute 'AREA COSECHADA(ha)' numeric
@attribute PRODUCCION(t) numeric
@attribute RENDIMIENTO(t/ha) numeric
@attribute 'NOMBRE CIENTIFICO CULTIVO' {'Aloe vera','Persea americana','Musa cavendishii','Passiflora ligularis.','Psidium guajava L.','Passiflora edulis Sims fo. Edulis','Solanum quitoense Lam','Ananas comosus L. Merr.','Musa paradisiaca L.','No aplica','Zea mays','Allium fistulosum','Coriandrum sativum','Lactuca sativa','Capsicum annuum L','Brassica oleracea var. capitata','Lycopersicon esculentum','Daucus carota','Solanum tuberosum','Carludovica palmata','Fragaria vesca','Morus ssp','Solanum betaceum','Annona muricata L.','Asparagus officinalis','Passiflora edulis','Carica papaya','Phaseolus vulgaris','Citrus limon L.','Mangifera indica L','Citrus sinensis L. OSBECK','Cucurbita maxima','Citrullus lanatus','Manihot esculenta','Allium cepa','Cucumis sativus','Beta vulgaris','Garcinia mangostana L.','Bactris gasipaes Kunth','Ficus carica L.','Feijoa sellowiana berg.','Persea americana hass','Persea americana mill','Citrus reticulata','Ocimun basilicum L.','Plukenetia volubilis','Macadamia integrifolia','Pouteria sapota','Arracacia xanthorrhiza','Theobrama cacao L.','Coffea arabica L.','Saccharum officinarum L.','Phaseolus sp.','Furcraea gigantea','Pisum sativum','Elaeis guineensis Jacq.'}
@attribute 'ESTADO FISICO DEL CULTIVO' {'En fresco','Grano seco','Pergamino o seco de trilla','Cana o verde',Otros}

@data
'Cebolla De Rama',Transitorio,Hortalizas,'Hortalizas de Tallo',0.25,0.25,0.25,1,'Allium fistulosum','En fresco'
Cilantro,Transitorio,Hortalizas,'Hortalizas de Hoja',0.3,0.3,3.15,10.5,'Coriandrum sativum','En fresco'
Repollo,Transitorio,Hortalizas,'Hortalizas de Hoja',0.5,0.5,1,2,'Brassica oleracea var. capitata','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',0,0,0,0,'Lycopersicon esculentum','En fresco'
'Tomate Invernadero',Transitorio,Hortalizas,'Hortalizas de Futo',2.5,2.5,237,94.8,'Lycopersicon esculentum','En fresco'
Habichuela,Transitorio,Leguminosas,Leguminosas,0.25,0.25,0.5,2,'Phaseolus vulgaris','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',5,4,20,5,'Persea americana','En fresco'
'Banano consumo interno',Permanente,Frutales,'Demas frutales',30,30,300,10,'Musa cavendishii','En fresco'
GuanAbana,Permanente,Frutales,AnonAceas,1,1,2.5,2.5,'Annona muricata L.','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',186,186,5022,27,'Musa paradisiaca L.','En fresco'
'Otros cItricos',Permanente,Frutales,CItricos,4,4,144,36,'No aplica','En fresco'
'Cebolla De Bulbo',Transitorio,Hortalizas,'Hortalizas de raIz',1,1,2,2,'Allium cepa','En fresco'
'Cebolla De Rama',Transitorio,Hortalizas,'Hortalizas de Tallo',1,1,4,4,'Allium fistulosum','En fresco'
Cilantro,Transitorio,Hortalizas,'Hortalizas de Hoja',1,1,4.8,4.8,'Coriandrum sativum','En fresco'
Lechuga,Transitorio,Hortalizas,'Hortalizas de Hoja',1,1,1,1,'Lactuca sativa','En fresco'
'Pepino Cohombro',Transitorio,Hortalizas,'Hortalizas de Futo',1,1,3,3,'Cucumis sativus','En fresco'
PimentOn,Transitorio,Hortalizas,'Hortalizas de Futo',1,1,2,2,'Capsicum annuum L','En fresco'
Remolacha,Transitorio,Hortalizas,'Hortalizas de raIz',0.5,0.5,1,2,'Beta vulgaris','En fresco'
Repollo,Transitorio,Hortalizas,'Hortalizas de Hoja',1,1,2,2,'Brassica oleracea var. capitata','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',1,1,2,2,'Lycopersicon esculentum','En fresco'
Zanahoria,Transitorio,Hortalizas,'Hortalizas de raIz',1,1,3,3,'Daucus carota','En fresco'
'Cebolla De Bulbo',Transitorio,Hortalizas,'Hortalizas de raIz',1,1,2,2,'Allium cepa','En fresco'
'Cebolla De Rama',Transitorio,Hortalizas,'Hortalizas de Tallo',1,1,4,4,'Allium fistulosum','En fresco'
Cilantro,Transitorio,Hortalizas,'Hortalizas de Hoja',1,1,4.8,4.8,'Coriandrum sativum','En fresco'
Lechuga,Transitorio,Hortalizas,'Hortalizas de Hoja',1,1,1,1,'Lactuca sativa','En fresco'
'Pepino Cohombro',Transitorio,Hortalizas,'Hortalizas de Futo',1,1,3,3,'Cucumis sativus','En fresco'
Fresa,Permanente,Frutales,'Demas frutales',0,0,0,0,'Fragaria vesca','En fresco'
PimentOn,Transitorio,Hortalizas,'Hortalizas de Futo',1,1,2,2,'Capsicum annuum L','En fresco'
Remolacha,Transitorio,Hortalizas,'Hortalizas de raIz',0.5,0.5,1,2,'Beta vulgaris','En fresco'
Repollo,Transitorio,Hortalizas,'Hortalizas de Hoja',1,1,2,2,'Brassica oleracea var. capitata','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',1,1,2,2,'Lycopersicon esculentum','En fresco'
Zanahoria,Transitorio,Hortalizas,'Hortalizas de raIz',1,1,3,3,'Daucus carota','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',698.5,450,4995,11.1,'Persea americana','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',249,217,1519,7,'Musa paradisiaca L.','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,2,2,1.76,0.88,'Zea mays','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',1.5,1.5,102,68,'Lycopersicon esculentum','En fresco'
'Tomate Invernadero',Transitorio,Hortalizas,'Hortalizas de Futo',0.6,0.6,61.2,102,'Lycopersicon esculentum','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',96,94,470,5,'Persea americana','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',20,20,150,7.5,'Musa paradisiaca L.','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,6,6,13.42,2.24,'Zea mays','En fresco'
'Cebolla De Rama',Transitorio,Hortalizas,'Hortalizas de Tallo',5,5,21,4.2,'Allium fistulosum','En fresco'
Cilantro,Transitorio,Hortalizas,'Hortalizas de Hoja',3,3,3,1,'Coriandrum sativum','En fresco'
'Otras hortalizas',Transitorio,Hortalizas,Hortalizas,5,5,30,6,'No aplica','En fresco'
'Papa todas las variedades',Transitorio,'RaIces y TubErculos','RaIces y TubErculos',26,26,470,18.08,'Solanum tuberosum','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',515,465,11857,25.5,'Persea americana','En fresco'
'Banano consumo interno',Permanente,Frutales,'Demas frutales',148,141,2115,15,'Musa cavendishii','En fresco'
Guayaba,Permanente,Frutales,MirtAceas,58,58,1044,18,'Psidium guajava L.','En fresco'
'Gulupa o cholupa',Permanente,Frutales,PasiflorAceas,11,11,125,11.36,'Passiflora edulis Sims fo. Edulis','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',796,796,12736,16,'Musa paradisiaca L.','En fresco'
'Otros cItricos',Permanente,Frutales,CItricos,382,376,7400,19.68,'No aplica','En fresco'
PimentOn,Transitorio,Hortalizas,'Hortalizas de Futo',2,2,60,30,'Capsicum annuum L','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',12,12,144,12,'Lycopersicon esculentum','En fresco'
Habichuela,Transitorio,Leguminosas,Leguminosas,6,6,90,15,'Phaseolus vulgaris','En fresco'
PimentOn,Transitorio,Hortalizas,'Hortalizas de Futo',2,2,60,30,'Capsicum annuum L','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',12,12,144,12,'Lycopersicon esculentum','En fresco'
Habichuela,Transitorio,Leguminosas,Leguminosas,5,5,22.5,4.5,'Phaseolus vulgaris','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',720,600,8400,14,'Persea americana','En fresco'
GuanAbana,Permanente,Frutales,AnonAceas,26,26,312,12,'Annona muricata L.','En fresco'
Guayaba,Permanente,Frutales,MirtAceas,5,4,24,6,'Psidium guajava L.','En fresco'
Mangostino,Permanente,Frutales,'Demas frutales',2,2,4,2,'Garcinia mangostana L.','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',80,50,350,7,'Musa paradisiaca L.','En fresco'
'Otros cItricos',Permanente,Frutales,CItricos,24,17,204,12,'No aplica','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,4,2,2.4,1.2,'Zea mays','En fresco'
'Yuca consumo en fresco',Transitorio,'RaIces y TubErculos','RaIces y TubErculos',5,3,63,21,'Manihot esculenta','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,4,3,3.75,1.25,'Zea mays','En fresco'
'Yuca consumo en fresco',Transitorio,'RaIces y TubErculos','RaIces y TubErculos',3,3,27,9,'Manihot esculenta','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',2200,1900,26600,14,'Persea americana','En fresco'
Lulo,Permanente,Frutales,SolanAceas,100,40,560,14,'Solanum quitoense Lam','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',2220,2200,26400,12,'Musa paradisiaca L.','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,0,0,0,0,'Zea mays','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,0,0,0,0,'Zea mays','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',210,198,1584,8,'Persea americana','En fresco'
Guayaba,Permanente,Frutales,MirtAceas,455,300,3300,11,'Psidium guajava L.','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',426,361,5776,16,'Musa paradisiaca L.','En fresco'
'Otros cItricos',Permanente,Frutales,CItricos,312,307,5219,17,'No aplica','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,8,8,40,5,'Zea mays','En fresco'
'Pepino Cohombro',Transitorio,Hortalizas,'Hortalizas de Futo',6,6,84,14,'Cucumis sativus','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',7,7,315,45,'Lycopersicon esculentum','En fresco'
Habichuela,Transitorio,Leguminosas,Leguminosas,6,6,108,18,'Phaseolus vulgaris','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',5,5,225,45,'Lycopersicon esculentum','En fresco'
Habichuela,Transitorio,Leguminosas,Leguminosas,4,4,72,18,'Phaseolus vulgaris','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',280,80,640,8,'Persea americana','En fresco'
GuanAbana,Permanente,Frutales,AnonAceas,4,4,1,0.25,'Annona muricata L.','En fresco'
Lulo,Permanente,Frutales,SolanAceas,2,1,2.5,2.5,'Solanum quitoense Lam','En fresco'
Mora,Permanente,Frutales,'Demas frutales',2,1,7,7,'Morus ssp','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',108,101,707,7,'Musa paradisiaca L.','En fresco'
'Otros cItricos',Permanente,Frutales,CItricos,7,5,40,8,'No aplica','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,2,2,2.8,1.4,'Zea mays','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',0.5,0.5,4,8,'Lycopersicon esculentum','En fresco'
Habichuela,Transitorio,Leguminosas,Leguminosas,2,2,6,3,'Phaseolus vulgaris','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,0,0,0,0,'Zea mays','En fresco'
'Tomate Invernadero',Transitorio,Hortalizas,'Hortalizas de Futo',0,0,0,0,'Lycopersicon esculentum','En fresco'
Habichuela,Transitorio,Leguminosas,Leguminosas,0,0,0,0,'Phaseolus vulgaris','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',195,128,1280,10,'Persea americana','En fresco'
'Banano consumo interno',Permanente,Frutales,'Demas frutales',63,50,500,10,'Musa cavendishii','En fresco'
Chontaduro,Permanente,Frutales,ArAceas,66,35,700,20,'Bactris gasipaes Kunth','En fresco'
'Gulupa o cholupa',Permanente,Frutales,PasiflorAceas,11,6,108,18,'Passiflora edulis Sims fo. Edulis','En fresco'
Mora,Permanente,Frutales,'Demas frutales',24,19,190,10,'Morus ssp','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',545,530,9540,18,'Musa paradisiaca L.','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,0,0,0,0,'Zea mays','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',0,0,0,0,'Lycopersicon esculentum','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,12,10,5.03,0.5,'Zea mays','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',4,4,36,9,'Lycopersicon esculentum','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',366,365,5110,14,'Persea americana','En fresco'
GuanAbana,Permanente,Frutales,AnonAceas,80,80,240,3,'Annona muricata L.','En fresco'
Guayaba,Permanente,Frutales,MirtAceas,40,40,280,7,'Psidium guajava L.','En fresco'
Lulo,Permanente,Frutales,SolanAceas,110,50,810,16.2,'Solanum quitoense Lam','En fresco'
MaracuyA,Permanente,Frutales,PasiflorAceas,9,8,24,3,'Passiflora edulis','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',1750,1600,22400,14,'Musa paradisiaca L.','En fresco'
'Otros cItricos',Permanente,Frutales,CItricos,575,560,11200,20,'No aplica','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,30,30,16.78,0.56,'Zea mays','En fresco'
'MaIz Tecnificado',Transitorio,Cereales,Cereales,25,25,175,7,'Zea mays','En fresco'
'Tomate Invernadero',Transitorio,Hortalizas,'Hortalizas de Futo',1,1,1,1,'Lycopersicon esculentum','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,10,10,15,1.5,'Zea mays','En fresco'
'MaIz Tecnificado',Transitorio,Cereales,Cereales,12,12,72,6,'Zea mays','En fresco'
'Tomate Invernadero',Transitorio,Hortalizas,'Hortalizas de Futo',1,1,25,25,'Lycopersicon esculentum','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',211,130,1300,10,'Persea americana','En fresco'
Fresa,Permanente,Frutales,'Demas frutales',2,1,5,5,'Fragaria vesca','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',2029,2020,14140,7,'Musa paradisiaca L.','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,8,8,6.99,0.87,'Zea mays','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',3,3,8,2.67,'Lycopersicon esculentum','En fresco'
'Papa todas las variedades',Transitorio,'RaIces y TubErculos','RaIces y TubErculos',80,80,1280,16,'Solanum tuberosum','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,11,8,5.03,0.63,'Zea mays','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',6,5,9,1.8,'Lycopersicon esculentum','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',358,213,1704,8,'Persea americana','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',630,624,4368,7,'Musa paradisiaca L.','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,12,12,21.6,1.8,'Zea mays','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',1,1,8,8,'Lycopersicon esculentum','En fresco'
Habichuela,Transitorio,Leguminosas,Leguminosas,0.3,0.3,0.15,0.5,'Phaseolus vulgaris','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,8,8,14.4,1.8,'Zea mays','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',1,1,7,7,'Lycopersicon esculentum','En fresco'
Habichuela,Transitorio,Leguminosas,Leguminosas,0.2,0.2,0.1,0.5,'Phaseolus vulgaris','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',198,153,5355,35,'Persea americana','En fresco'
Lulo,Permanente,Frutales,SolanAceas,14,6,78,13,'Solanum quitoense Lam','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',879.5,746.3,9701.9,13,'Musa paradisiaca L.','En fresco'
'Otros cItricos',Permanente,Frutales,CItricos,190,138,4140,30,'No aplica','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,5.5,5,8.39,1.68,'Zea mays','En fresco'
'MaIz Tecnificado',Transitorio,Cereales,Cereales,0,0,0,0,'Zea mays','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,3.5,2,3.36,1.68,'Zea mays','En fresco'
'MaIz Tecnificado',Transitorio,Cereales,Cereales,0,0,0,0,'Zea mays','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',29,0,0,0,'Persea americana','En fresco'
Granadilla,Permanente,Frutales,PasiflorAceas,5,0,0,0,'Passiflora ligularis.','En fresco'
Lulo,Permanente,Frutales,SolanAceas,8,0,0,0,'Solanum quitoense Lam','En fresco'
MaracuyA,Permanente,Frutales,PasiflorAceas,15,15,225,15,'Passiflora edulis','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',1086,1066,21320,20,'Musa paradisiaca L.','En fresco'
'Otros cItricos',Permanente,Frutales,CItricos,211,96,2400,25,'No aplica','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,8,8,2.24,0.28,'Zea mays','En fresco'
'Tomate Invernadero',Transitorio,Hortalizas,'Hortalizas de Futo',15,15,525,35,'Lycopersicon esculentum','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,5,5,1.4,0.28,'Zea mays','En fresco'
'Tomate Invernadero',Transitorio,Hortalizas,'Hortalizas de Futo',22,22,726,33,'Lycopersicon esculentum','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',478,400,2840,7.1,'Persea americana','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',163,136,2448,18,'Musa paradisiaca L.','En fresco'
'Otros cItricos',Permanente,Frutales,CItricos,65,55,825,15,'No aplica','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,180,180,540,3,'Zea mays','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',15,15,285,19,'Lycopersicon esculentum','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,195,195,624,3.2,'Zea mays','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',14,14,268.8,19.2,'Lycopersicon esculentum','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',1124,334,3674,11,'Persea americana','En fresco'
Brevo,Permanente,Frutales,'Demas frutales',5,5,60,12,'Ficus carica L.','En fresco'
Feijoa,Permanente,Frutales,MirtAceas,1,1,6,6,'Feijoa sellowiana berg.','En fresco'
Fresa,Permanente,Frutales,'Demas frutales',3,2,80,40,'Fragaria vesca','En fresco'
Granadilla,Permanente,Frutales,PasiflorAceas,16,12,96,8,'Passiflora ligularis.','En fresco'
'Gulupa o cholupa',Permanente,Frutales,PasiflorAceas,10,4,160,40,'Passiflora edulis Sims fo. Edulis','En fresco'
Lulo,Permanente,Frutales,SolanAceas,14,7,56,8,'Solanum quitoense Lam','En fresco'
Mora,Permanente,Frutales,'Demas frutales',51,27,216,8,'Morus ssp','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',28,13,65,5,'Musa paradisiaca L.','En fresco'
'Tomate de Arbol',Permanente,Frutales,SolanAceas,14,14,98,7,'Solanum betaceum','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,10,6,12,2,'Zea mays','En fresco'
'Plantas AromAticas',Transitorio,'Cultivos para Condimentos y Bebidas Medicinales y AromAticas','Cultivos para Condimentos y Bebidas Medicinales y AromAticas',4,4,4,1,'No aplica','En fresco'
'Cebolla De Rama',Transitorio,Hortalizas,'Hortalizas de Tallo',35,33,990,30,'Allium fistulosum','En fresco'
'Tomate Invernadero',Transitorio,Hortalizas,'Hortalizas de Futo',13,11,1430,130,'Lycopersicon esculentum','En fresco'
'Otras hortalizas',Transitorio,Hortalizas,Hortalizas,290,270,6480,24,'No aplica','En fresco'
'Papa todas las variedades',Transitorio,'RaIces y TubErculos','RaIces y TubErculos',25,23,230,10,'Solanum tuberosum','En fresco'
'Yuca consumo en fresco',Transitorio,'RaIces y TubErculos','RaIces y TubErculos',8,6,30,5,'Manihot esculenta','En fresco'
'Plantas AromAticas',Transitorio,'Cultivos para Condimentos y Bebidas Medicinales y AromAticas','Cultivos para Condimentos y Bebidas Medicinales y AromAticas',4,4,4,1,'No aplica','En fresco'
'Cebolla De Rama',Transitorio,Hortalizas,'Hortalizas de Tallo',35,33,990,30,'Allium fistulosum','En fresco'
'Tomate Invernadero',Transitorio,Hortalizas,'Hortalizas de Futo',13,13,1690,130,'Lycopersicon esculentum','En fresco'
'Otras hortalizas',Transitorio,Hortalizas,Hortalizas,310,300,7200,24,'No aplica','En fresco'
'Papa todas las variedades',Transitorio,'RaIces y TubErculos','RaIces y TubErculos',25,23,230,10,'Solanum tuberosum','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',28,26.5,742,28,'Persea americana','En fresco'
'Banano consumo interno',Permanente,Frutales,'Demas frutales',7,3,60,20,'Musa cavendishii','En fresco'
GuanAbana,Permanente,Frutales,AnonAceas,15,13.5,135,10,'Annona muricata L.','En fresco'
Guayaba,Permanente,Frutales,MirtAceas,0,0,0,0,'Psidium guajava L.','En fresco'
MaracuyA,Permanente,Frutales,PasiflorAceas,11,9,270,30,'Passiflora edulis','En fresco'
'Papaya  demAs variedades',Permanente,Frutales,'Demas frutales',7.5,5,100,20,'Carica papaya','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',119,10,100,10,'Musa paradisiaca L.','En fresco'
'Otros cItricos',Permanente,Frutales,CItricos,341,280.2,7285.2,26,'No aplica','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,0,0,0,0,'Zea mays','En fresco'
'MaIz Tecnificado',Transitorio,Cereales,Cereales,33,33,198,6,'Zea mays','En fresco'
'Yuca consumo en fresco',Transitorio,'RaIces y TubErculos','RaIces y TubErculos',3,3,30,10,'Manihot esculenta','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,0,0,0,0,'Zea mays','En fresco'
'MaIz Tecnificado',Transitorio,Cereales,Cereales,33,33,198,6,'Zea mays','En fresco'
SAbila,Permanente,'Cultivos para Condimentos y Bebidas Medicinales y AromAticas',Medicinales,2.1,2,40,20,'Aloe vera','En fresco'
'Aguacate Hass',Permanente,Frutales,'Demas frutales',105.76,73.76,295.04,4,'Persea americana hass','En fresco'
'Aguacate Papelillo',Permanente,Frutales,'Demas frutales',73.09,49.09,490.9,10,'Persea americana mill','En fresco'
'Banano consumo interno',Permanente,Frutales,'Demas frutales',115,115,1092.5,9.5,'Musa cavendishii','En fresco'
Guayaba,Permanente,Frutales,MirtAceas,136,136,2040,15,'Psidium guajava L.','En fresco'
'Gulupa o cholupa',Permanente,Frutales,PasiflorAceas,5.5,5,100,20,'Passiflora edulis Sims fo. Edulis','En fresco'
'LimOn  TahitI',Permanente,Frutales,CItricos,90.3,0,0,0,'Citrus limon L.','En fresco'
Lulo,Permanente,Frutales,SolanAceas,0,0,0,0,'Solanum quitoense Lam','En fresco'
'Mandarina Arrayana y/o Oneco',Permanente,Frutales,CItricos,54.24,40.24,402.4,10,'Citrus reticulata','En fresco'
'Naranja Valencia',Permanente,Frutales,CItricos,307.56,284.56,4325.31,15.2,'Citrus sinensis L. OSBECK','En fresco'
'Pina demAs variedades',Permanente,Frutales,'Demas frutales',0,0,0,0,'Ananas comosus L. Merr.','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',1461,1441,24497,17,'Musa paradisiaca L.','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,33,32.5,23.49,0.72,'Zea mays','En fresco'
'MaIz Tecnificado',Transitorio,Cereales,Cereales,0,0,0,0,'Zea mays','En fresco'
'Cebolla De Rama',Transitorio,Hortalizas,'Hortalizas de Tallo',1,0.4,9.2,23,'Allium fistulosum','En fresco'
Cilantro,Transitorio,Hortalizas,'Hortalizas de Hoja',1.3,0.9,7.2,8,'Coriandrum sativum','En fresco'
Lechuga,Transitorio,Hortalizas,'Hortalizas de Hoja',1,0.5,6.5,13,'Lactuca sativa','En fresco'
PimentOn,Transitorio,Hortalizas,'Hortalizas de Futo',10,7,105,15,'Capsicum annuum L','En fresco'
Repollo,Transitorio,Hortalizas,'Hortalizas de Hoja',1,0.4,5.4,13.5,'Brassica oleracea var. capitata','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',20,10,260,26,'Lycopersicon esculentum','En fresco'
Zanahoria,Transitorio,Hortalizas,'Hortalizas de raIz',0,0,0,0,'Daucus carota','En fresco'
'Papa todas las variedades',Transitorio,'RaIces y TubErculos','RaIces y TubErculos',210,150,1950,13,'Solanum tuberosum','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,14,8,7.61,0.95,'Zea mays','En fresco'
'MaIz Tecnificado',Transitorio,Cereales,Cereales,0,0,0,0,'Zea mays','En fresco'
'Cebolla De Rama',Transitorio,Hortalizas,'Hortalizas de Tallo',1,0.9,20.7,23,'Allium fistulosum','En fresco'
Cilantro,Transitorio,Hortalizas,'Hortalizas de Hoja',1.2,1.2,9.6,8,'Coriandrum sativum','En fresco'
